Date,Values
06-Mar-17,719.76
06-Mar-17,703.32
06-Mar-17,729.84
06-Mar-17,682.08
06-Mar-17,679.86
06-Mar-17,686.94
06-Mar-17,691.5
06-Mar-17,714.36
06-Mar-17,689.88
06-Mar-17,657.48
06-Mar-17,661.74
06-Mar-17,646.44
06-Mar-17,653.16
06-Mar-17,629.28
06-Mar-17,625.08
06-Mar-17,586.08
06-Mar-17,595.44
06-Mar-17,605.46
06-Mar-17,596.94
06-Mar-17,591.96
06-Mar-17,609.66
06-Mar-17,612.48
07-Mar-17,597.12
07-Mar-17,604.62
07-Mar-17,614.28
07-Mar-17,599.22
07-Mar-17,586.5
07-Mar-17,588.36
07-Mar-17,604.14
07-Mar-17,601.2
07-Mar-17,577.5
07-Mar-17,590.76
07-Mar-17,616.08
07-Mar-17,607.56
07-Mar-17,610.56
07-Mar-17,618.3
07-Mar-17,645.48
07-Mar-17,645.78
07-Mar-17,649.68
07-Mar-17,659.94
07-Mar-17,670.5
07-Mar-17,683.52
07-Mar-17,677.58
07-Mar-17,679.62
07-Mar-17,718.86
07-Mar-17,694.2
07-Mar-17,674.7
07-Mar-17,655.98
07-Mar-17,677.64
07-Mar-17,724.2
07-Mar-17,697.02
07-Mar-17,703.38
07-Mar-17,719.28
07-Mar-17,710.88
07-Mar-17,707.16
07-Mar-17,710.76
07-Mar-17,740.28
07-Mar-17,723
07-Mar-17,696.9
07-Mar-17,683.16
07-Mar-17,683.4
07-Mar-17,663.12
07-Mar-17,635.88
07-Mar-17,624.12
07-Mar-17,620.76
07-Mar-17,610.14
07-Mar-17,626.64
07-Mar-17,600
07-Mar-17,614.04
07-Mar-17,638.04
08-Mar-17,608.28
08-Mar-17,613.98
08-Mar-17,613.02
08-Mar-17,609.48
08-Mar-17,557.88
08-Mar-17,582.84
08-Mar-17,598.02
08-Mar-17,639.78
08-Mar-17,652.32
08-Mar-17,600.9
08-Mar-17,619.62
08-Mar-17,618.54
08-Mar-17,624.24
08-Mar-17,607.5
08-Mar-17,609.72
08-Mar-17,626.58
08-Mar-17,648.96
08-Mar-17,658.68
08-Mar-17,654.3
08-Mar-17,704.58
08-Mar-17,703.26
08-Mar-17,682.38
08-Mar-17,710.16
08-Mar-17,722.16
08-Mar-17,709.62
08-Mar-17,696.6
08-Mar-17,705
08-Mar-17,731.34
08-Mar-17,741.6
08-Mar-17,750.36
08-Mar-17,734.46
08-Mar-17,752.22
08-Mar-17,748.86
